# Copyright (C) 2020  Intel Corporation. All rights reserved.
# Your use of Intel Corporation's design tools, logic functions 
# and other software and tools, and any partner logic 
# functions, and any output files from any of the foregoing 
# (including device programming or simulation files), and any 
# associated documentation or information are expressly subject 
# to the terms and conditions of the Intel Program License 
# Subscription Agreement, the Intel Quartus Prime License Agreement,
# the Intel FPGA IP License Agreement, or other applicable license
# agreement, including, without limitation, that your use is for
# the sole purpose of programming logic devices manufactured by
# Intel and sold by Intel or its authorized distributors.  Please
# refer to the applicable agreement for further details, at
# https://fpgasoftware.intel.com/eula.

# Quartus Prime Version 20.1.1 Build 720 11/11/2020 SJ Lite Edition
# File: C:\Projetos\T4BB1\Projeto\circuito\verilog\projeto_final_semana3.csv
# Generated on: Wed Mar 27 12:25:47 2024

# Note: The column header names should not be changed if you wish to import this .csv file into the Quartus Prime software.

To,Direction,Location,I/O Bank,VREF Group,Fitter Location,I/O Standard,Reserved,Current Strength,Slew Rate,Differential Pair,Transceiver Analog Settings Protocol,VCCR_GXB/VCCT_GXB Voltage,Transceiver I/O Pin Termination,Transceiver Dedicated Refclk Pin Termination,Transmitter Common Mode Driver Voltage,Transmitter Slew Rate Control,Transmitter Differential Output Voltage,Receiver Buffer Common Mode Voltage,Strict Preservation
arduino_out[3],Output,PIN_B12,7A,B7A_N0,PIN_B12,2.5 V,,,,,,,,,,,,,
arduino_out[2],Output,PIN_H15,7A,B7A_N0,PIN_H15,2.5 V,,,,,,,,,,,,,
arduino_out[1],Output,PIN_A12,7A,B7A_N0,PIN_A12,2.5 V,,,,,,,,,,,,,
arduino_out[0],Output,PIN_H16,7A,B7A_N0,PIN_H16,2.5 V,,,,,,,,,,,,,
botoes[12],Input,PIN_K16,7A,B7A_N0,PIN_K16,2.5 V,,,,,,,,,,,,,
botoes[11],Input,PIN_J17,7A,B7A_N0,PIN_J17,2.5 V,,,,,,,,,,,,,
botoes[10],Input,PIN_G12,7A,B7A_N0,PIN_G12,2.5 V,,,,,,,,,,,,,
botoes[9],Input,PIN_G13,7A,B7A_N0,PIN_G13,2.5 V,,,,,,,,,,,,,
botoes[8],Input,PIN_G15,7A,B7A_N0,PIN_G15,2.5 V,,,,,,,,,,,,,
botoes[7],Input,PIN_G16,7A,B7A_N0,PIN_G16,2.5 V,,,,,,,,,,,,,
botoes[6],Input,PIN_F12,7A,B7A_N0,PIN_F12,2.5 V,,,,,,,,,,,,,
botoes[5],Input,PIN_F13,7A,B7A_N0,PIN_F13,2.5 V,,,,,,,,,,,,,
botoes[4],Input,PIN_F15,7A,B7A_N0,PIN_F15,2.5 V,,,,,,,,,,,,,
botoes[3],Input,PIN_F14,7A,B7A_N0,PIN_F14,2.5 V,,,,,,,,,,,,,
botoes[2],Input,PIN_E16,7A,B7A_N0,PIN_E16,2.5 V,,,,,,,,,,,,,
botoes[1],Input,PIN_E15,7A,B7A_N0,PIN_E15,2.5 V,,,,,,,,,,,,,
botoes[0],Input,PIN_E14,7A,B7A_N0,PIN_E14,2.5 V,,,,,,,,,,,,,
clock,Input,PIN_M9,3B,B3B_N0,PIN_M9,2.5 V,,,,,,,,,,,,,
db_clock,Output,PIN_AA2,2A,B2A_N0,PIN_AA2,2.5 V,,,,,,,,,,,,,
db_enderecoIgualRodada,Output,PIN_N1,2A,B2A_N0,PIN_N1,2.5 V,,,,,,,,,,,,,
db_estado4,Output,PIN_L2,2A,B2A_N0,PIN_L2,2.5 V,,,,,,,,,,,,,
db_estado5,Output,PIN_L1,2A,B2A_N0,PIN_L1,2.5 V,,,,,,,,,,,,,
db_estado_lsb[6],Output,PIN_W19,4A,B4A_N0,PIN_W19,2.5 V,,,,,,,,,,,,,
db_estado_lsb[5],Output,PIN_C2,2A,B2A_N0,PIN_C2,2.5 V,,,,,,,,,,,,,
db_estado_lsb[4],Output,PIN_C1,2A,B2A_N0,PIN_C1,2.5 V,,,,,,,,,,,,,
db_estado_lsb[3],Output,PIN_P14,4A,B4A_N0,PIN_P14,2.5 V,,,,,,,,,,,,,
db_estado_lsb[2],Output,PIN_T14,4A,B4A_N0,PIN_T14,2.5 V,,,,,,,,,,,,,
db_estado_lsb[1],Output,PIN_M8,3B,B3B_N0,PIN_M8,2.5 V,,,,,,,,,,,,,
db_estado_lsb[0],Output,PIN_N9,3B,B3B_N0,PIN_N9,2.5 V,,,,,,,,,,,,,
db_memoria_nota[6],Output,PIN_V19,4A,B4A_N0,PIN_V19,2.5 V,,,,,,,,,,,,,
db_memoria_nota[5],Output,PIN_V18,4A,B4A_N0,PIN_V18,2.5 V,,,,,,,,,,,,,
db_memoria_nota[4],Output,PIN_U17,4A,B4A_N0,PIN_U17,2.5 V,,,,,,,,,,,,,
db_memoria_nota[3],Output,PIN_V16,4A,B4A_N0,PIN_V16,2.5 V,,,,,,,,,,,,,
db_memoria_nota[2],Output,PIN_Y17,4A,B4A_N0,PIN_Y17,2.5 V,,,,,,,,,,,,,
db_memoria_nota[1],Output,PIN_W16,4A,B4A_N0,PIN_W16,2.5 V,,,,,,,,,,,,,
db_memoria_nota[0],Output,PIN_Y16,4A,B4A_N0,PIN_Y16,2.5 V,,,,,,,,,,,,,
db_memoria_tempo[6],Output,PIN_AB21,4A,B4A_N0,PIN_AB21,2.5 V,,,,,,,,,,,,,
db_memoria_tempo[5],Output,PIN_AB22,4A,B4A_N0,PIN_AB22,2.5 V,,,,,,,,,,,,,
db_memoria_tempo[4],Output,PIN_V14,4A,B4A_N0,PIN_V14,2.5 V,,,,,,,,,,,,,
db_memoria_tempo[3],Output,PIN_Y14,4A,B4A_N0,PIN_Y14,2.5 V,,,,,,,,,,,,,
db_memoria_tempo[2],Output,PIN_AA10,3B,B3B_N0,PIN_AA10,2.5 V,,,,,,,,,,,,,
db_memoria_tempo[1],Output,PIN_AB17,4A,B4A_N0,PIN_AB17,2.5 V,,,,,,,,,,,,,
db_memoria_tempo[0],Output,PIN_Y19,4A,B4A_N0,PIN_Y19,2.5 V,,,,,,,,,,,,,
db_menu[6],Output,PIN_AA22,4A,B4A_N0,PIN_AA22,2.5 V,,,,,,,,,,,,,
db_menu[5],Output,PIN_Y21,4A,B4A_N0,PIN_Y21,2.5 V,,,,,,,,,,,,,
db_menu[4],Output,PIN_Y22,4A,B4A_N0,PIN_Y22,2.5 V,,,,,,,,,,,,,
db_menu[3],Output,PIN_W21,4A,B4A_N0,PIN_W21,2.5 V,,,,,,,,,,,,,
